Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Australia,AUS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,16.1804,15.7206,15.2608,14.801,14.4212,14.0414,13.6616,13.2818,12.902,..
Australia,AUS,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.295077016,2.201174832,2.280410601,2.258752004,2.282509346,2.220048428,2.372696749,2.430579825,2.766645923,..
Australia,AUS,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,3.140243902,..,3.140243902,..,..,..,..
Australia,AUS,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,99.1,99.1,99.1,..,99.3,99.7,99.7,..,..,..
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,18.20018196,17.74084505,17.53887776,17.07290468,16.09583317,15.38876602,..,..,..,..
Australia,AUS,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,62,..,..,67.8,..,..,..,66.9,..,..
Australia,AUS,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,151.0122791,154.0429924,151.4180321,150.1579391,155.5330742,164.7108995,175.9771021,182.7724021,..,..
Australia,AUS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,10791.5931,10726.92818,10627.29387,10407.74031,10220.8873,10071.39898,..,..,..,..
Australia,AUS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,5862.551944,5793.116026,5745.23219,5575.287093,5468.391369,5334.681679,5483.816402,..,..,..
Australia,AUS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,23.03850745,19.8425192,21.47284119,21.51897381,19.98771744,21.07576502,20.01296407,19.25302663,21.27035363,..
Australia,AUS,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.971,1.928,1.926,1.92,1.855,1.826,1.814,1.752,1.765,..
Australia,AUS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,28683266148,35210733743,65554890650,57550426823,53997299140,63195482812,45051418215,39225714067,42579724525,..
Australia,AUS,Forest area (sq. km),AG.LND.FRST.K2,1240970,1232110,1235190,1238270,1241350,1244430,1247510,1250590,..,..
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,9.26448E+11,1.14426E+12,1.39428E+12,1.54341E+12,1.5737E+12,1.46496E+12,1.34903E+12,1.20804E+12,1.32342E+12,..
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.922727293,2.052942004,2.451105083,3.891940026,2.639482357,2.558337523,2.351136441,2.827310511,1.957575422,..
Australia,AUS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,43980,46550,50230,60090,65920,65060,60440,54180,51360,..
Australia,AUS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,38830,37730,40210,41450,44690,45570,45230,46210,48050,..
Australia,AUS,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,9.54019E+11,1.02559E+12,1.12214E+12,1.36599E+12,1.52464E+12,1.52726E+12,1.43953E+12,1.31055E+12,1.26349E+12,..
Australia,AUS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,8.42245E+11,8.31308E+11,8.98285E+11,9.42265E+11,1.03355E+12,1.06985E+12,1.07725E+12,1.11789E+12,1.18219E+12,..
Australia,AUS,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,27.32507776,26.76627057,26.41415509,27.6497194,27.80950556,26.6506076,26.1433301,25.29549218,24.17924414,..
Australia,AUS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,11.92575814,11.86682435,13.06709696,12.72958582,12.90999462,13.5987282,13.51306446,14.78155861,12.79115849,..
Australia,AUS,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,94,94,94,94,94,94,95,95,95,..
Australia,AUS,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,22.82647568,20.87386525,20.50509857,21.76810529,21.28586162,21.50408328,21.53442325,21.51844657,20.62261643,..
Australia,AUS,Income share held by lowest 20%,SI.DST.FRST.20,..,7.3,..,..,..,6.8,..,..,..,..
Australia,AUS,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,26.92747846,25.06375671,26.34294971,26.18873597,25.0373236,25.41766514,23.54903528,22.25826161,23.04841103,..
Australia,AUS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,5.003473379,1.163802785,6.25869016,1.874443802,-0.157896221,1.439945165,-0.728029657,-0.45836818,3.701453585,..
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.54390244,81.69512195,81.89512195,82.04634146,82.14878049,82.3,82.4,82.44878049,82.49756098,..
Australia,AUS,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,34.51915003,36.20444808,36.96773316,33.53708091,31.46229232,32.55662085,29.39380947,32.17449085,34.7465975,..
Australia,AUS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.929179691,1.862399774,1.769389864,1.679917358,1.649533076,1.781294955,1.958451254,2.092849524,1.989292632,..
Australia,AUS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,102.1204248,101.7176081,105.8238999,106.6434188,107.728789,106.7533735,108.2793309,110.0520902,112.6886209,..
Australia,AUS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,5,4.8,4.6,4.3,4.2,4,3.8,3.7,3.5,..
